date,bikes_hired
30/07/2010,6.897
31/07/2010,5.564
01/08/2010,4.303
02/08/2010,6.642
03/08/2010,7.966
04/08/2010,7.893
05/08/2010,8.724
06/08/2010,9.797
07/08/2010,6.631
08/08/2010,7.864
09/08/2010,6.191
10/08/2010,4.802
11/08/2010,14.013
12/08/2010,13.080
13/08/2010,12.151
14/08/2010,9.195
15/08/2010,10.928
16/08/2010,15.384
17/08/2010,15.396
18/08/2010,16.062
19/08/2010,17.170
20/08/2010,16.462
21/08/2010,11.719
22/08/2010,10.129
23/08/2010,12.935
24/08/2010,17.006
25/08/2010,10.062
26/08/2010,9.875
27/08/2010,12.854
28/08/2010,10.116
29/08/2010,7.811
30/08/2010,10.534
31/08/2010,17.508
01/09/2010,19.332
02/09/2010,20.909
03/09/2010,20.113
04/09/2010,14.373
05/09/2010,12.924
06/09/2010,16.841
07/09/2010,25.361
08/09/2010,18.727
09/09/2010,20.774
10/09/2010,19.532
11/09/2010,13.383
12/09/2010,14.002
13/09/2010,18.037
14/09/2010,17.026
15/09/2010,20.890
16/09/2010,20.433
17/09/2010,20.488
18/09/2010,15.495
19/09/2010,11.492
20/09/2010,20.169
21/09/2010,22.906
22/09/2010,23.905
23/09/2010,17.729
24/09/2010,18.053
25/09/2010,14.010
26/09/2010,7.890
27/09/2010,18.789
28/09/2010,21.554
29/09/2010,13.899
30/09/2010,21.823
01/10/2010,11.424
02/10/2010,10.704
03/10/2010,8.237
04/10/2010,23.688
05/10/2010,22.054
06/10/2010,20.114
07/10/2010,24.072
08/10/2010,22.886
09/10/2010,14.463
10/10/2010,14.871
11/10/2010,21.986
12/10/2010,23.016
13/10/2010,22.251
14/10/2010,21.582
15/10/2010,20.934
16/10/2010,12.735
17/10/2010,12.764
18/10/2010,20.464
19/10/2010,17.964
20/10/2010,20.750
21/10/2010,21.161
22/10/2010,20.164
23/10/2010,11.584
24/10/2010,11.259
25/10/2010,18.430
26/10/2010,13.950
27/10/2010,19.559
28/10/2010,19.995
29/10/2010,19.119
30/10/2010,13.493
31/10/2010,8.739
01/11/2010,19.785
02/11/2010,21.754
03/11/2010,27.964
04/11/2010,22.424
05/11/2010,15.815
06/11/2010,11.877
07/11/2010,9.331
08/11/2010,11.328
09/11/2010,16.026
10/11/2010,19.767
11/11/2010,12.901
12/11/2010,14.534
13/11/2010,12.123
14/11/2010,6.235
15/11/2010,18.086
16/11/2010,18.764
17/11/2010,17.005
18/11/2010,15.974
19/11/2010,18.545
20/11/2010,10.806
21/11/2010,8.356
22/11/2010,17.258
23/11/2010,17.427
24/11/2010,18.628
25/11/2010,16.822
26/11/2010,16.092
27/11/2010,7.867
28/11/2010,6.866
29/11/2010,16.681
30/11/2010,9.263
01/12/2010,9.848
02/12/2010,7.356
03/12/2010,8.264
04/12/2010,7.857
05/12/2010,8.321
06/12/2010,13.855
07/12/2010,15.033
08/12/2010,15.225
09/12/2010,16.171
10/12/2010,15.602
11/12/2010,10.328
12/12/2010,8.585
13/12/2010,14.997
14/12/2010,15.550
15/12/2010,13.412
16/12/2010,10.833
